Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,28265,-,-,India,26.55,75.55,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag,,,,,,,,,,,,,,
2014,1,2,10,30,203,560,504,207,607,533,-1,18.3685068419,980.76171875,25.3655324421,57.5615953176,0.4379854128,0,316.0196533203,1.4480159283,0,,,,,,,,,,,,,,
2014,1,2,11,30,221,622,607,227,661,637,-1,20.110088536,979.9632568359,22.5895732732,51.6697679999,0.4487599718,0,311.4485473633,1.4546017647,0,,,,,,,,,,,,,,
2014,1,2,12,30,233,619,636,233,678,674,-2,21.0135073191,978.7963867188,21.0495612893,49.4655227528,0.4623212977,0,311.8656005859,1.4306921959,0,,,,,,,,,,,,,,
2014,1,2,13,30,235,593,605,227,662,640,-2,21.1652605304,978.0162963867,20.5725899993,51.4274494851,0.4762876825,0,315.9951782227,1.3810845613,0,,,,,,,,,,,,,,
2014,1,2,14,30,224,495,493,208,608,538,-2,20.5993875906,977.6176147461,20.7951242049,57.1263196965,0.4934272173,0,325.9840087891,1.2600896358,0,,,,,,,,,,,,,,
2014,1,2,15,30,185,394,348,172,505,381,-2,19.082172946,977.2843017578,22.5846166721,65.5906627887,0.5005412694,0,345.6743774414,1.1732829809,0,,,,,,,,,,,,,,
2014,1,2,16,30,119,165,160,111,323,189,2,16.0511615666,977.7827148438,40.5775241113,75.8937447022,0.5067429421,0,11.6864318848,1.3448916674,0,,,,,,,,,,,,,,
2014,1,2,17,30,3,0,3,15,38,17,0,13.4753120464,978.048828125,38.4768092448,87.3770999255,0.5094333572,0,29.857219696,1.7028763294,0,,,,,,,,,,,,,,
2014,1,2,18,30,0,0,0,0,0,0,-1,12.5925523341,978.7001342773,38.6034606307,99.627203574,0.5176732275,0,41.4634208679,1.9953286648,0,,,,,,,,,,,,,,
2014,1,2,19,30,0,0,0,0,0,0,0,11.8493392623,979.1552734375,41.6998018975,112.3744699625,0.5385696438,0,50.3205375671,2.1413824558,0,,,,,,,,,,,,,,
2014,1,2,20,30,0,0,0,0,0,0,0,11.1605178814,979.6677246094,42.9666748681,125.4509762896,0.5806564659,0,55.1722183228,2.204515934,0,,,,,,,,,,,,,,
2014,1,2,21,30,0,0,0,0,0,0,-1,10.5460790519,979.3372192383,43.823675348,138.7379120538,0.6528142813,0,59.7621879578,2.2386710644,0,,,,,,,,,,,,,,
2014,1,2,22,30,0,0,0,0,0,0,-1,10.0284866188,978.8206787109,44.9276932279,152.1342213931,0.7489851625,0,64.7452850342,2.239841938,0,,,,,,,,,,,,,,
2014,1,2,23,30,0,0,0,0,0,0,-1,9.5622879051,977.8178710938,46.0661619955,165.4711196807,0.8622488479,0,68.7655487061,2.1883883476,0,,,,,,,,,,,,,,
2014,1,3,0,30,0,0,0,0,0,0,-1,9.1659765631,977.4080810547,47.1995302692,176.2912230318,0.9787577338,0,71.7075805664,2.1125769615,0,,,,,,,,,,,,,,
2014,1,3,1,30,0,0,0,0,0,0,-1,8.7901940168,976.8826293945,48.3523595201,166.3263207481,1.0891223029,0,72.9282608032,2.0237436295,0,,,,,,,,,,,,,,
2014,1,3,2,30,0,0,0,0,0,0,-1,8.4328233982,976.4916992188,49.9125815316,153.0067593446,1.1840655388,0,76.8888702393,1.7825055122,0,,,,,,,,,,,,,,
2014,1,3,3,30,0,0,0,0,0,0,-2,8.0970855336,976.0551147461,47.0199788045,139.605157647,1.2743623763,0,81.8168258667,1.5000941753,0,,,,,,,,,,,,,,
2014,1,3,4,30,0,0,0,0,0,0,-1,7.7854004951,976.1422729492,50.3004005125,126.304754907,1.3557862981,0,88.333732605,1.2274218798,0,,,,,,,,,,,,,,
2014,1,3,5,30,0,0,0,0,0,0,-3,7.5123486778,976.5501098633,46.7848162851,113.2068154141,1.4288371591,0,100.953956604,0.9942732453,0,,,,,,,,,,,,,,
2014,1,3,6,30,0,0,0,0,0,0,-1,7.3200396766,977.0962524414,52.4968211117,100.4276427011,1.4960537226,0,119.4256896973,0.85851717,0,,,,,,,,,,,,,,
2014,1,3,7,30,4,0,4,9,20,9,0,9.2278161567,978.0247192383,54.744001665,88.1298618187,1.5480544691,0,137.1238708496,0.8874245882,0,,,,,,,,,,,,,,
2014,1,3,8,30,113,160,151,101,279,166,0,11.8285682146,978.6002197266,41.1843790169,76.5762576341,1.5856388514,0,136.5515136719,0.8826115131,0,,,,,,,,,,,,,,
2014,1,3,9,30,203,344,343,164,460,350,-1,15.6890348553,979.2389526367,31.6697603336,66.166019923,1.6139568328,0,135.2425231934,0.831512332,0,,,,,,,,,,,,,,
